id;cclaart;csubcla;ncorart;cequiv;tcor;tabr;cuni;cpreuni;qfaccon;qfaccon1;flagcre;fcre;fanu;frec;qprecio;qpresie;qsaldis;qsalcom;flagenv;qbot;qbot1;ccodenv;preliq;npeso;cequire;qpuntos;ctiblje;ccblje;cescom;cc01;cc02;cc03;cc04;cc05;qpisc;qcapac;qunafe;qimpcap;qpreref;crubcj;qfaccon2;qbot2;cum1;cum2;cgprnk;qprecos;ccodud1;ccodud2;flagcom;flagcop;qprecio2;qprecio3;qprecio4;qprecio5;qprecio6;qprecio7;cuser;cidpr;fupgr;tupgr;tipo_producto_id;created_at;updated_at
198;0;0;464;464;PANETON W.BS 850G+1UN.COCOA10G;WINTER DE LE;9;11;1;1;1;\N;6/11/2024;2/11/2024;20;0;23;0;*;24;24;\N;1;0;464;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;464;\N;N;N;20;0;0;0;0;0;ALMACEN03;PANU_01    M;6/11/2024;14:07:05;1;30/12/2024 16:44;30/12/2024 16:44
800;0;0;465;465;GELATINA DONKOKI PI A PQX40UN;465;9;\N;40;1;-;15/04/2024;\N;\N;104;0;998.12;0;*;0.01;1;\N;1;0;465;0;4;\N;1;1;1;\N;33;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;465;\N;N;N;104;0;0;0;0;0;SISTEMA2;FMUEV01    M;20/11/2024;13:00:48;1;30/12/2024 16:44;30/12/2024 16:44
801;0;0;466;466;PIC.CLAS.6CJ+1PK.EXTRE+2UN.PIC;466;9;\N;1;1;1;2/06/2023;3/07/2023;\N;316.8;0;0;0;*;0.01;1;\N;1;0;466;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;466;\N;N;N;288;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
210;0;0;467;467;MAXI TOFFE CJX10BOLX50UNI;MAXITOFF;9;\N;10;10;-;21/08/2018;18/10/2024;23/11/2024;112;0;4945.01;0;*;24;24;\N;1;0;467;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;467;\N;N;N;102;0;0;0;0;0;ALMACEN03;PANU_01    M;23/11/2024;13:45:42;1;30/12/2024 16:44;30/12/2024 16:44
860;0;0;468;468;OLE OLE 1BOL +5UNI;468;9;\N;1;1;1;3/07/2023;5/07/2023;\N;6;0;0;0;*;0.01;1;\N;1;0;468;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0;468;\N;N;N;6;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
213;0;0;469;469;CHOCOPALETON 1DSP +2UN.PIC;469;9;\N;1;1;1;7/09/2018;23/09/2024;23/09/2024;10;0;10000;0;*;24;24;\N;1;0;469;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;469;\N;N;N;10;0;0;0;0;0;ALMACEN03;PANU_01    M;23/09/2024;16:11:35;1;30/12/2024 16:44;30/12/2024 16:44
480;0;0;470;470;MINI GOMAS AMBROSITO CJX12UNI;MINI GOM;9;\N;12;12;-;11/11/2021;6/01/2024;8/01/2024;24;0;4930.1;0;*;24;24;\N;1;0;470;0;4;\N;1;1;1;\N;1;1;0;0;0;0;0;\N;2;24;1;1;1;0.008;470;\N;N;N;21;0;0;0;0;0;SISTEMA2;FMUEV01    M;26/12/2024;08:09:18;1;30/12/2024 16:44;30/12/2024 16:44
215;0;0;471;471;WINTERS FLOW CJX12DISX6UNI;WINTFLOW;9;\N;12;12;1;1/10/2018;7/07/2023;7/07/2023;177.6;0;0;0;*;24;24;\N;1;0;471;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;471;\N;N;N;158;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
216;0;0;472;472;PICARAS CLASICA 5CJ +7PCK.PIC;472;9;\N;1;1;1;5/08/2024;28/10/2024;28/10/2024;660;0;10000;0;*;0.01;1;\N;1;0;472;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;472;\N;N;N;600;0;0;0;0;0;ALMACEN03;PANU_01    M;28/10/2024;15:16:21;1;30/12/2024 16:45;30/12/2024 16:45
226;0;0;473;473;ZUKO PI A CJX8DISX12UNI;ZUKO PI ;9;\N;8;8;-;13/11/2018;9/11/2024;13/11/2024;92;0;643.07;0;*;24;24;\N;1;0;473;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;473;\N;N;N;84;0;0;0;0;0;ALMACEN03;PANU_01    M;13/11/2024;13:04:40;1;30/12/2024 16:44;30/12/2024 16:44
798;0;0;474;474;CHOCOLISTO POTE 300G 1UNI+3SOB;474;9;\N;1;1;1;1/06/2023;1/09/2023;\N;9.8;0;0;0;*;0.01;1;\N;1;0;474;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;474;\N;N;N;8.75;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
799;0;0;475;475;DUCALES FAM 1UNI+1UNI.PIC.;475;9;\N;1;1;1;1/06/2023;2/10/2023;13/09/2023;4.4;0;42;0;*;0.01;1;\N;1;0;475;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;475;\N;N;N;4.4;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
802;0;0;476;476;BONI.CARAMELO LIMON ARCOR 1BOL;476;9;\N;1;1;1;3/10/2024;3/10/2024;\N;0.01;0;20018;0;*;0.01;1;\N;1;0;476;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;476;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;PANU_01    M;3/10/2024;15:40:14;1;30/12/2024 16:45;30/12/2024 16:45
803;0;0;477;477;BONI.GOMA MOGUL 80G 1UNI;477;9;\N;1;1;1;3/10/2024;3/10/2024;\N;0.01;0;29911;0;*;0.01;1;\N;1;0;477;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;477;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;FMUEV01    M;16/10/2024;15:34:32;1;30/12/2024 16:45;30/12/2024 16:45
804;0;0;478;478;CANDY TOLA CJX20DISX30UNI;478;9;\N;20;1;1;6/06/2023;18/09/2024;13/06/2024;158;0;1009.09;0;*;0.01;1;\N;1;0;478;0;4;\N;1;1;1;\N;31;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;478;\N;N;N;145;0;0;0;0;0;SISTEMA2;PANU_01    M;18/09/2024;08:03:09;1;30/12/2024 16:44;30/12/2024 16:44
861;0;0;479;479;OLEMANI 1T+1B.OLE+2U.PI+5U.OLE;479;9;\N;1;1;1;3/07/2023;1/08/2023;11/07/2023;12.9;0;0;0;*;0.01;1;\N;1;0;479;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;479;\N;N;N;12.9;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
404;0;0;480;480;GELATINA DONKOKI LIMON PQX40UN;480;9;\N;40;1;-;15/04/2024;\N;\N;104;0;999.07;0;*;0.01;1;\N;1;0;480;0;4;\N;1;1;1;\N;33;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;480;\N;N;N;104;0;0;0;0;0;SISTEMA2;FMUEV01    M;20/11/2024;13:00:59;1;30/12/2024 16:45;30/12/2024 16:45
862;0;0;481;481;GRANUTS ARANDA 1T+1T.ORIENT+2U;481;9;\N;1;1;1;3/07/2023;5/09/2024;3/09/2024;10.9;0;0;0;*;0.01;1;\N;1;0;481;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;481;\N;N;N;10.9;0;0;0;0;0;SISTEMA2;PANU_01    M;5/09/2024;11:45:37;1;30/12/2024 16:44;30/12/2024 16:44
277;0;0;482;482;MINI RELLENA COCO CJX8BOLX50UN;MINI REL;9;\N;8;8;-;14/01/2020;26/12/2024;28/12/2024;71.2;0;9680;0;*;24;24;\N;1;0;482;0;4;\N;1;1;1;\N;40;1;0;0;0;0;0;\N;8;24;1;1;1;0.008;482;\N;N;N;60.5;0;0;0;0;0;SISTEMA2;PANU_01    M;28/12/2024;12:17:15;1;30/12/2024 16:44;30/12/2024 16:44
278;0;0;483;483;MINI RELLENA FRES CJX8BOLX50UN;MINI REL;9;\N;8;8;1;14/01/2020;24/12/2024;20/07/2024;71.2;0;9744.05;0;*;24;24;\N;1;0;483;0;4;\N;1;1;1;\N;40;1;0;0;0;0;0;\N;8;24;1;1;1;0.008;483;\N;N;N;60.5;0;0;0;0;0;SISTEMA2;PANU_01    M;24/12/2024;08:06:30;1;30/12/2024 16:44;30/12/2024 16:44
279;0;0;484;484;MINI RELLEN CHOCO CJX8BOLX50UN;MINI REL;9;\N;8;8;-;14/01/2020;26/03/2024;27/03/2024;71.2;0;9703.01;0;*;24;24;\N;1;0;484;0;4;\N;1;1;1;\N;40;1;0;0;0;0;0;\N;8;24;1;1;1;0.008;484;\N;N;N;60.5;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
276;0;0;485;485;ZUKO MANGO CJX8DISX12UNI;ZUKO MAN;9;\N;8;8;-;14/01/2020;16/08/2024;21/08/2024;92;0;815.03;0;*;24;24;\N;1;0;485;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;8;24;1;1;1;0.008;485;\N;N;N;84;0;0;0;0;0;ALMACEN03;PANU_01    M;21/08/2024;15:08:28;1;30/12/2024 16:44;30/12/2024 16:44
289;0;0;486;486;ZUKO MANZANA CJX8DISX12UNID;ZUKMANZA;9;\N;8;8;-;11/05/2020;14/03/2024;28/03/2024;92;0;899.06;0;*;24;24;\N;1;0;486;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;8;24;1;1;1;0.008;486;\N;N;N;84;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
412;0;0;487;487;COCOA 26.5GR 20DIS+1DIS;PROMCOCO;9;\N;1;1;1;24/06/2021;2/08/2021;24/07/2021;1000;0;0;0;*;24;24;\N;1;0;487;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;24;1;1;1;0.008;487;\N;N;N;320;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
863;0;0;488;488;GRANUTS ORIENTAL 2TR+2U.GRANUT;488;9;\N;1;1;1;3/07/2023;1/12/2023;2/11/2023;10;0;156;0;*;0.01;1;\N;1;0;488;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.845;488;\N;N;N;10;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
864;0;0;489;489;GRANUTS ARANDAMIX 2TR+2U.GRANU;489;9;\N;1;1;1;3/07/2023;1/12/2023;2/11/2023;11.8;0;157;0;*;0.01;1;\N;1;0;489;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.845;489;\N;N;N;11.8;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
411;0;0;490;490;COCOA 26.5GR 1DIS+1UNID;COCOPROM;9;\N;1;1;1;24/06/2021;3/08/2021;2/08/2021;17.8;0;0;0;*;24;24;\N;1;0;490;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;24;1;1;1;0.008;490;\N;N;N;17.8;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
403;0;0;491;491;PICARAS 30CJ+3CJ+5 DUCAL.TACO;PICARASD;15;\N;1;1;1;15/06/2021;2/08/2021;28/07/2021;1500;0;0;0;*;24;24;\N;1;0;491;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;24;1;1;1;0.008;491;\N;N;N;855;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
402;0;0;492;492;PICARAS 10CJ+6PACK+3DUCAL.TACO;PICAPACK;9;\N;1;1;1;15/06/2021;2/08/2021;24/07/2021;1000;0;0;0;*;24;24;\N;1;0;492;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;24;1;1;1;0.008;492;\N;N;N;285;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
401;0;0;493;493;PICARAS 4CJ+2PACK+1DUCAL.TACO;PICARASS;15;\N;1;1;1;15/06/2021;2/08/2021;24/07/2021;500;0;0;0;*;24;24;\N;1;0;493;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;24;1;1;1;0.008;493;\N;N;N;114;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
400;0;0;494;494;PICARAS 2PACK+1UNID;PICAPACK;15;\N;1;1;1;15/06/2021;2/11/2024;18/10/2024;13.2;0;10000;0;*;24;24;\N;1;0;494;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;24;1;1;1;0.008;494;\N;N;N;13.2;0;0;0;0;0;SISTEMA2;PANU_01    M;2/11/2024;09:38:24;1;30/12/2024 16:44;30/12/2024 16:44
320;0;0;495;495;OREO GRANDE CJX18PAKX6UNI;OREO GRD;9;\N;18;18;-;9/01/2021;14/05/2024;29/06/2024;129.6;0;1000.09;0;*;24;24;\N;1;0;495;0;4;\N;1;1;1;\N;3;1;0;0;0;0;0;\N;6;24;1;1;1;0.008;495;\N;N;N;109;0;0;0;0;0;SISTEMA2;FMUEV01    M;14/09/2024;11:31:55;1;30/12/2024 16:44;30/12/2024 16:44
786;0;0;496;496;BONI.BOLSA FIESTAMIX MINIS 1BL;496;9;\N;1;1;1;3/10/2024;3/10/2024;\N;0.01;0;10196;0;*;0.01;1;\N;1;0;496;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;496;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;PANU_01    M;3/10/2024;15:27:22;1;30/12/2024 16:45;30/12/2024 16:45
