id;crut;clin;cter;creg;ccendis;ccono;care;czon;npdv;crutdis;tdes;csisven;ncompvt;ctipmod;cdis;cuser;cidpr;fupgr;tupgr;created_at;updated_at;dia_visita;vendedor_id;empresa_id;lista_precio_id;dia
7;58;3;7;7;7;7;1;93;85;1;CAMPOY TOTUS;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;19;1;1;6
8;1;3;7;7;7;7;1;93;139;1;JICAMARCA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;19;1;1;1
12;31;3;7;7;7;7;1;93;112;1;CASUARINAS - TERRAZA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;19;1;1;4
13;41;3;7;7;7;7;1;93;160;1;HUASCAR (52);100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;19;1;1;5
18;10;3;7;7;7;7;1;93;93;1;JICAMARCA - MEDIA LU;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;19;1;1;2
71;71;3;7;7;7;7;1;93;140;1;MIGUELGRAU JUAN P.II;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;19;1;1;3
28399;180;3;7;7;7;7;1;93;216;1;MERCADOS H.JARA;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;19;1;2;7
4;20;3;7;7;7;7;1;103;119;1;1 SETIEMBRE-IPD-UNIO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;20;1;1;6
10;21;3;7;7;7;7;1;103;118;1;JUAN PABLO II;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;20;1;1;3
40;45;3;7;7;7;7;1;103;116;1;BAYOVAR-ATUSPARIA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;20;1;1;2
47;6;3;7;7;7;7;1;103;94;1;JICAMARCA STO DOMING;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;20;1;1;1
53;46;3;7;7;7;7;1;103;139;1;10 DE OCTUBRE;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;20;1;1;5
